Date,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Indian rupee,Saudi riyal,UAE dirham,Thai baht,Korean won,South African rand,Australian dollar,Quarter,Year
1992-09-30,347.18333333333334,238.9530303030303,43349.843939393926,182.65303030303028,416.98333333333323,452.4515151515151,9855.839393939395,1302.2303030303033,1275.3409090909092,8754.45303030303,273554.4909090909,962.1984848484847,474.85303030303027,3,1992
1992-12-31,337.96969696969705,256.9075757575757,41552.28333333335,214.2954545454545,426.3727272727273,469.0787878787878,9645.931818181816,1267.839393939394,1241.374242424242,8577.95,265932.30151515146,1001.3318181818181,484.1090909090909,4,1992
1993-03-31,329.56875,269.021875,39800.3421875,223.17187500000009,415.46406249999995,496.23906250000005,9946.165625000003,1235.0218750000001,1209.6656249999994,8388.751562500001,261653.88281250003,1028.9640625,478.2187499999999,1,1993
1993-06-30,360.13846153846146,291.49538461538464,39583.59230769231,234.91846153846146,457.5061538461539,526.5692307692308,11297.147692307693,1351.733846153846,1323.7292307692308,9080.526153846153,288110.8415384614,1151.2876923076922,519.4692307692306,2,1993
1993-09-30,375.3090909090908,320.5833333333334,39655.365151515136,249.5166666666667,488.81515151515146,554.7136363636363,11789.342424242426,1407.1242424242416,1377.2984848484853,9458.601515151515,303074.0227272727,1265.581818181818,560.789393939394,3,1993
1993-12-31,374.2803030303029,323.81515151515146,40532.20757575757,250.8818181818182,495.9787878787879,549.1621212121212,11744.190909090908,1403.7742424242426,1374.374242424243,9495.277272727273,302644.5363636365,1264.0348484848487,560.9560606060604,4,1993
1994-03-31,384.43281249999995,337.77812499999993,41343.27031249999,258.2718749999999,515.8015624999999,557.94375,12058.782812500003,1441.4781250000003,1411.4718749999997,9763.540625000003,310975.0624999999,1321.8812500000001,543.2593750000001,1,1994
1994-06-30,381.8799999999999,323.41076923076923,39426.81538461542,253.91846153846143,527.9092307692308,537.5076923076922,11977.239999999998,1431.9446153846154,1402.964615384615,9621.090769230768,308169.34769230767,1380.2969230769233,526.7676923076922,2,1994
1994-09-30,385.78484848484845,310.0227272727272,38219.85,248.72424242424236,529.0833333333333,505.58939393939386,12101.625757575757,1446.8515151515148,1416.9924242424245,9638.99242424242,309732.7575757575,1391.5681818181818,522.1499999999999,3,1994
1994-12-31,384.5861538461537,307.0646153846154,38022.31538461539,242.85230769230768,526.0,498.7261538461536,12068.50307692308,1442.5276923076929,1412.163076923077,9621.516923076922,305907.5846153847,1362.2630769230768,508.95076923076937,4,1994
1995-03-31,379.31230769230785,296.72307692307714,36388.31538461538,239.67846153846153,533.8646153846154,470.4569230769233,11930.401538461541,1422.5861538461538,1393.0846153846155,9466.62923076923,298195.26153846167,1353.1369230769226,507.32769230769213,1,1995
1995-06-30,387.8538461538462,291.0523076923077,32740.210769230765,242.94307692307694,531.7892307692309,447.7692307692308,12178.663076923072,1454.6138461538465,1424.4584615384613,9551.384615384613,295887.21076923073,1412.2707692307688,533.24,2,1995
1995-09-30,384.30461538461543,290.4446153846155,36167.21538461538,244.2738461538462,521.016923076923,453.5553846153845,12311.621538461539,1441.3046153846153,1411.4353846153845,9584.175384615382,294285.78307692317,1401.2553846153849,518.7846153846153,3,1995
1995-12-31,385.3030769230767,289.6784615384615,39107.232307692306,246.94000000000003,522.2753846153847,443.2815384615385,13381.943076923077,1445.041538461538,1415.1123076923075,9687.090769230768,296420.8800000002,1407.467692307692,515.2184615384615,4,1995
1996-03-31,399.9415384615386,306.2092307692308,42275.39076923076,261.1276923076924,547.5692307692309,475.79846153846154,14214.403076923078,1499.9092307692313,1468.883076923077,10098.60153846154,313046.92307692306,1506.5353846153848,529.1384615384617,1,1996
1996-06-30,390.2507692307692,305.88615384615383,41928.70153846154,256.21076923076913,532.5430769230769,485.09999999999997,13516.858461538463,1463.5107692307693,1433.3030769230766,9874.752307692306,306711.4661538461,1681.2584615384615,492.9923076923078,2,1996
1996-09-30,384.671212121212,296.6712121212122,41906.701515151515,247.44090909090912,527.0424242424243,470.2469696969697,13680.274242424237,1442.6696969696964,1412.7984848484853,9745.19090909091,314389.82727272727,1720.1060606060607,487.9000000000001,3,1996
1996-12-31,376.0287878787879,294.48636363636354,42439.39545454543,229.9318181818181,507.7939393939394,483.9075757575756,13435.445454545456,1410.230303030303,1380.9333333333338,9590.254545454543,312695.7651515151,1743.7333333333331,472.87272727272733,4,1996
1997-03-31,351.48125,296.9406249999999,42526.985937499994,215.31093750000002,477.56875,503.8234375000002,12605.703124999998,1318.1624999999995,1290.6578125000008,9092.442187499999,304127.11875,1586.8562499999996,451.6203124999999,1,1997
1997-06-30,342.99538461538464,300.0815384615386,41073.59846153847,209.70307692307688,475.3384615384614,495.57230769230773,12278.870769230774,1286.3523076923082,1259.6261538461536,8806.390769230771,305849.4907692309,1532.5923076923075,445.8292307692308,2,1997
1997-09-30,323.6681818181819,297.4727272727273,38162.98636363636,199.12727272727275,448.0378787878789,481.4106060606062,11658.049999999996,1213.8787878787875,1188.6742424242425,10658.728787878788,290998.0909090908,1502.357575757576,439.9969696969698,3,1997
1997-12-31,306.7848484848485,274.4545454545454,38393.01969696969,184.97575757575763,431.8560606060604,439.8924242424242,11505.324242424238,1150.6106060606066,1126.7257575757576,12435.706060606062,353608.162121212,1472.6757575757579,442.8030303030304,4,1997
1998-03-31,294.1046875,273.02187500000014,37696.789062499985,178.62968749999996,420.6499999999999,434.0078124999999,11535.6296875,1103.075,1080.1812500000003,13762.031250000002,471277.0828125,1455.3249999999998,441.22031250000003,1,1998
1998-06-30,300.0446153846154,274.7830769230768,40674.619999999995,181.38307692307694,433.9153846153844,447.7753846153846,12222.133846153845,1125.3015384615383,1101.9753846153847,12092.133846153845,418085.8092307692,1552.0338461538458,476.7353846153846,2,1998
1998-09-30,288.6454545454545,259.7469696969697,40364.878787878784,174.58939393939403,436.619696969697,424.10606060606074,12291.057575757573,1082.722727272727,1060.1015151515148,11851.28939393939,382713.3227272727,1793.072727272727,481.76363636363635,3,1998
1998-12-31,293.5666666666666,249.60303030303035,35041.910606060585,175.13787878787875,452.8439393939394,399.33030303030296,12452.904545454543,1101.1060606060607,1078.19696969697,10840.818181818186,375777.3393939395,1698.6939393939401,470.9242424242425,4,1998
1999-03-31,286.79843750000003,255.80312500000005,33421.548437499994,175.58437500000005,433.6265625000002,409.1656249999999,12182.140625000002,1075.6578125,1053.3390624999997,10627.426562499997,343520.66406249994,1750.5734375,452.3187500000001,1,1999
1999-06-30,273.403076923077,258.6215384615384,33023.75846153847,170.1707692307692,402.8015384615384,413.73999999999984,11720.267692307696,1025.3230769230768,1004.1338461538462,10165.38153846154,325615.51230769226,1675.316923076923,418.43384615384616,2,1999
1999-09-30,259.1424242424242,247.05303030303028,29324.571212121216,161.77272727272725,384.95606060606076,395.81515151515146,11252.55454545454,971.8515151515153,951.7651515151512,9951.489393939393,309668.9363636364,1579.7878787878794,398.4772727272728,3,1999
1999-12-31,295.5666666666665,284.9681818181818,30857.19242424243,181.280303030303,435.11212121212117,456.07121212121206,12838.85606060606,1108.428787878788,1085.5121212121212,11459.003030303029,346454.13939393935,1811.1393939393938,459.030303030303,4,1999
2000-03-31,290.19076923076915,294.33846153846156,31053.090769230766,180.78461538461536,421.7892307692307,473.0753846153846,12645.690769230769,1088.2384615384613,1065.7661538461539,10933.89230769231,326441.6046153846,1830.62,460.4092307692308,1,2000
2000-06-30,280.10769230769233,300.14,29882.13076923078,182.96461538461534,414.6569230769232,469.1907692307692,12356.672307692303,1050.473846153846,1028.7507692307693,10835.346153846156,312602.68307692313,1924.4184615384609,475.2261538461537,2,2000
2000-09-30,276.52307692307716,305.5984615384615,29765.24000000001,187.08615384615382,409.7892307692308,471.8384615384617,12566.840000000002,1037.0784615384619,1015.5630769230768,11336.23076923077,308309.55538461544,1935.9215384615386,481.5153846153849,3,2000
2000-12-31,269.2600000000001,309.856923076923,29576.832307692308,186.13846153846157,410.73384615384606,469.6830769230768,12549.989230769226,1009.8615384615387,988.896923076923,11686.28307692308,314251.5876923077,2046.5876923076921,505.74923076923073,4,2000
2001-03-31,263.70307692307694,285.8030769230769,31149.847692307692,180.71538461538455,402.8046153846153,438.1353846153846,12275.675384615382,988.9076923076924,968.4846153846154,11408.295384615383,335461.84,2062.4846153846156,497.3369230769233,1,2001
2001-06-30,267.78307692307686,306.86307692307685,32815.64307692307,188.46615384615384,412.56153846153853,468.9676923076923,12555.883076923077,1004.2369230769232,983.5015384615385,12159.798461538461,349564.9707692308,2150.876923076923,521.3676923076923,2,2001
2001-09-30,274.16307692307674,307.92923076923086,33311.18307692307,190.73076923076923,423.4923076923077,463.9615384615385,12964.083076923078,1028.183076923077,1006.9184615384613,12322.670769230766,354817.76307692326,2298.9584615384615,534.2723076923079,3,2001
2001-12-31,278.5712121212121,311.14545454545475,34446.79848484849,193.03636363636366,440.390909090909,458.6742424242425,13361.896969696967,1044.6939393939392,1023.1212121212124,12357.97878787879,360171.8015151515,2835.1651515151507,544.7893939393939,4,2001
2002-03-31,290.05,330.73906250000016,38398.97656249999,203.340625,462.3984375000001,487.30625,14081.801562500003,1087.7093750000006,1065.3125000000002,12689.085937500002,382868.13906250015,3343.375,559.6562500000001,1,2002
2002-06-30,312.6553846153847,340.37846153846147,39640.56307692308,213.9061538461539,486.0523076923078,498.4738461538462,15297.841538461536,1172.4846153846152,1148.3261538461538,13379.349230769227,396470.3892307693,3267.6630769230774,567.6415384615386,2,2002
2002-09-30,314.0939393939395,319.21515151515155,37462.09393939395,202.74393939393934,490.87121212121195,467.2075757575758,15257.092424242426,1177.8818181818187,1153.566666666667,13212.225757575756,376000.8454545456,3271.5742424242417,573.9606060606061,3,2002
2002-12-31,323.27878787878797,322.89393939393943,39556.74393939394,205.59393939393934,507.3045454545455,473.37272727272716,15589.184848484845,1212.321212121212,1187.3272727272729,14031.248484848484,394244.559090909,3110.8484848484854,579.3212121212123,4,2002
